,brand,model,registration_year,fuel_type,seats,rto_state,transmission_type,ownership,engine(cc),kms_driven,engine_power(bhp),mileage(kmpl),has_parking_sensors,has_automatic_climate_control,has_rear_ac_vents,has_central_locking,has_air_purifier,vehicle_price(lakhs),new_vehicle_price(lakhs)
2031,Nissan,Terrano,2014,Diesel,5 Seats,Maharashtra,Manual,Second Owner,1461,120000,108.5,19.01,0,0,0,0,1,4.5,14.53
2032,Kia,Seltos,2024,Diesel,5 Seats,Karnataka,Manual,First Owner,1493,30000,114.41,17.0,0,1,0,0,1,18.0,22.04
2033,Maruti,XL6,2025,Petrol,6 Seats,Karnataka,Manual,First Owner,1462,10000,101.902,20.613,0,0,0,0,0,14.5,14.52
2034,Kia,Sonet,2025,Petrol,5 Seats,Karnataka,Manual,First Owner,1197,10000,81.8,18.4,1,1,1,0,0,11.4,11.41
2035,Toyota,Innova,2008,Diesel,7 Seats,Goa,Manual,First Owner,2494,30000,105.569,12.8,0,0,1,0,0,5.5,13.14
2036,Hyundai,Alcazar,2022,Diesel,7 Seats,Karnataka,Manual,First Owner,1493,100000,113.98,20.4,0,1,0,0,1,19.0,24.0
2037,Mahindra,Scorpio,2022,Diesel,7 Seats,Karnataka,Manual,First Owner,2179,50000,140.393,15.938,0,0,0,0,0,12.5,17.68
2038,Jeep,Compass,2017,Diesel,5 Seats,Karnataka,Manual,Third Owner,1956,73000,168.98,16.6,0,0,0,0,0,9.9,23.91
2039,Maruti,Swift,2023,Petrol,5 Seats,Maharashtra,Manual,First Owner,1197,60000,88.5,22.41,1,0,1,0,0,7.5,8.65
2040,Maruti,Swift,2021,CNG,5 Seats,Unknown,Manual,First Owner,1197,108000,75.008,26.55,1,0,0,0,0,6.6,8.26
2041,Maruti,Swift,2013,Petrol,5 Seats,Maharashtra,Manual,Second Owner,1197,100000,85.8,18.6,0,0,0,1,0,3.5,5.84
2042,Tata,Safari,2024,Diesel,7 Seats,Karnataka,Automatic,First Owner,1956,50000,178.683,15.161,0,0,0,0,0,26.0,31.79
2043,Hyundai,Alcazar,2021,Petrol,6 Seats,Unknown,Automatic,First Owner,1999,80000,191.588,13.744,0,0,0,0,0,15.0,23.22
2044,Mercedes Benz,C-Class,2024,Petrol,5 Seats,Goa,Automatic,First Owner,1496,10000,201.15,15.968,0,0,0,0,0,49.5,70.76
2045,Ford,Ecosport,2018,Petrol,5 Seats,Goa,Manual,Second Owner,1497,100000,123.268,17.047,0,0,0,0,0,6.0,10.37
2046,Maruti,S Cross,2018,Diesel,5 Seats,Goa,Manual,First Owner,1248,60000,87.484,26.15,0,0,0,0,0,8.0,12.29
2047,Jeep,Compass,2022,Diesel,5 Seats,Karnataka,Automatic,First Owner,1956,35900,181.761,15.404,0,0,0,0,0,24.5,37.87
2048,Maruti,Alto,2010,Petrol,5 Seats,Unknown,Manual,First Owner,796,60000,46.301,19.744,0,0,0,0,0,2.0,3.28
2049,Toyota,Etios,2015,Petrol,5 Seats,Karnataka,Manual,Second Owner,1496,120000,93.576,21.341,0,0,0,0,0,3.75,8.08
2050,Mahindra,XUV500,2018,Diesel,7 Seats,Uttarakhand,Manual,Second Owner,2179,70000,138.813,15.896,0,0,0,0,0,11.0,21.26
2051,Tata,Tiago,2022,CNG,5 Seats,Karnataka,Manual,First Owner,1199,100000,69.06,26.683,0,0,0,0,0,6.9,8.69
2052,Hyundai,Venue,2022,Petrol,5 Seats,Karnataka,Manual,First Owner,1197,90000,81.86,17.52,1,1,1,0,0,8.0,10.46
2053,Jeep,Compass,2018,Diesel,5 Seats,Maharashtra,Manual,Second Owner,1956,80000,170.0,17.1,0,1,0,0,0,10.5,20.02
2054,Maruti,Swift,2015,Petrol,5 Seats,Maharashtra,Manual,Second Owner,1197,160000,83.14,20.85,0,0,0,0,0,4.0,7.42
2055,Volkswagen,Vento,2012,Petrol,5 Seats,Karnataka,Manual,Second Owner,1598,120000,103.6,15.04,1,1,1,0,0,5.0,11.02
2056,Kia,Carens,2022,Petrol,7 Seats,Karnataka,Manual,First Owner,1353,100000,138.05,16.541,0,1,1,0,0,12.0,19.21
2057,Maruti,Swift,2015,Diesel,5 Seats,Karnataka,Manual,Second Owner,1248,120000,74.0,26.59,0,0,0,0,0,5.5,8.67
2058,Tata,Tiago,2023,Petrol,5 Seats,Karnataka,Manual,First Owner,1199,50000,85.367,19.682,0,0,0,0,0,7.0,7.59
2059,Hyundai,Verna,2010,Diesel,5 Seats,Maharashtra,Manual,Third Owner,1493,80000,97.783,16.2,1,1,0,0,0,1.48,10.23
2060,Toyota,Innova,2017,Diesel,7 Seats,Goa,Automatic,First Owner,2755,160000,171.5,13.193,0,0,1,0,0,12.0,20.68
2061,Hyundai,Venue,2021,Diesel,5 Seats,Telangana,Manual,First Owner,1493,105473,98.6,23.7,1,0,0,0,0,9.8,9.98
2062,Skoda,Rapid,2014,Diesel,5 Seats,Telangana,Manual,First Owner,1498,134646,103.52,21.14,0,1,1,0,0,5.25,12.35
2063,Hyundai,Creta,2020,Diesel,5 Seats,Telangana,Automatic,First Owner,1493,97609,113.45,18.0,0,1,0,0,1,14.5,23.25
2064,Maruti,Baleno,2022,Petrol,5 Seats,Telangana,Manual,First Owner,1197,10000,81.8,21.01,0,1,0,0,0,7.25,8.37
2065,Hyundai,Venue,2021,Diesel,5 Seats,Telangana,Manual,First Owner,1493,72668,98.6,23.7,1,1,1,0,0,9.6,11.9
2066,Maruti,Swift,2015,Diesel,5 Seats,Telangana,Manual,First Owner,1248,68567,74.0,23.4,0,0,0,0,0,4.8,8.07
2067,Maruti,Ciaz,2017,Diesel,5 Seats,Telangana,Manual,First Owner,1248,93584,87.981,27.059,0,0,0,0,0,6.25,11.11
2068,Mahindra,Bolero,2017,Diesel,7 Seats,Telangana,Manual,First Owner,1493,82408,99.246,18.617,0,0,0,0,0,6.75,10.32
2069,Toyota,Innova,2019,Diesel,7 Seats,Telangana,Manual,First Owner,2393,153451,147.8,14.547,0,0,1,0,0,18.75,21.21
2070,Honda,Amaze,2023,Petrol,5 Seats,Telangana,Automatic,First Owner,1199,25358,88.5,18.3,1,1,0,0,0,8.75,11.5
2071,Maruti,Wagon,2016,Petrol,5 Seats,Telangana,Manual,First Owner,998,75408,67.05,21.79,0,0,0,1,0,3.75,6.55
2072,Honda,City,2014,Diesel,5 Seats,Telangana,Manual,First Owner,1498,93104,98.6,26.0,1,1,1,0,0,4.95,13.1
2073,Maruti,SX4,2011,Petrol,5 Seats,Maharashtra,Manual,Third Owner,1586,60000,103.3,15.5,0,0,0,0,0,1.5,8.71
2074,Hyundai,i10,2011,Petrol,5 Seats,Telangana,Manual,First Owner,1197,53164,78.9,20.36,0,0,0,1,0,2.9,5.75
2075,Toyota,Innova,2014,Diesel,7 Seats,Telangana,Manual,First Owner,2494,170258,100.6,13.292,0,0,1,0,0,8.75,16.82
2076,Honda,Amaze,2018,Diesel,5 Seats,Telangana,Manual,Second Owner,1498,71583,98.6,25.8,0,0,0,0,0,4.65,8.43
2077,Volkswagen,Vento,2012,Diesel,5 Seats,Telangana,Manual,First Owner,1598,85534,103.6,20.54,1,1,1,0,0,3.3,12.07
2078,Maruti,Ertiga,2023,Petrol,7 Seats,Telangana,Manual,First Owner,1462,63654,101.65,20.51,1,1,1,0,0,11.9,14.22
2079,Hyundai,Xcent,2018,Diesel,5 Seats,Telangana,Manual,First Owner,1120,86282,69.588,24.582,0,0,0,0,0,3.5,8.31
2080,Volkswagen,Polo,2019,Petrol,5 Seats,Telangana,Manual,First Owner,999,56306,77.032,19.467,0,0,0,0,0,5.5,8.03
2081,Volkswagen,Ameo,2017,Diesel,5 Seats,Telangana,Automatic,First Owner,1498,88599,96.388,23.489,0,0,0,0,0,5.25,11.77
2082,Hyundai,Santro,2008,Petrol,5 Seats,Telangana,Manual,Second Owner,1086,72252,68.836,19.463,0,0,0,0,0,1.85,4.85
2083,Hyundai,Xcent,2018,Diesel,5 Seats,Telangana,Manual,First Owner,1120,86282,69.588,24.582,0,0,0,0,0,3.5,8.31
2084,Maruti,Celerio,2017,Petrol,5 Seats,Telangana,Manual,First Owner,998,78908,67.04,23.1,0,0,0,1,0,3.8,5.24
2085,Maruti,Wagon,2013,Petrol,5 Seats,Telangana,Manual,First Owner,998,78678,67.04,20.51,0,0,0,1,0,2.7,5.13
2086,Ford,Figo,2012,Diesel,5 Seats,Telangana,Manual,Second Owner,1399,79572,68.219,20.017,0,0,0,0,0,2.6,7.75
2087,Hyundai,i10,2011,Petrol,5 Seats,Telangana,Automatic,First Owner,1197,75900,79.649,20.092,0,0,0,0,0,2.95,6.52
2088,Hyundai,i10,2016,Petrol,5 Seats,Telangana,Manual,First Owner,1086,31203,68.925,19.947,0,0,0,0,0,3.35,5.27
2089,Mahindra,Xylo,2019,Diesel,7 Seats,Telangana,Manual,First Owner,2489,181320,93.7,14.95,0,0,1,0,0,4.3,11.65
2090,Renault,Pulse,2016,Diesel,5 Seats,Telangana,Manual,Second Owner,1461,90584,90.95,20.531,0,0,0,0,0,3.3,7.4
2091,Ford,Ecosport,2018,Petrol,5 Seats,Maharashtra,Automatic,Second Owner,1497,21000,121.36,14.8,1,1,0,0,0,5.8,11.23
2092,Hyundai,i20,2015,Diesel,5 Seats,Telangana,Manual,First Owner,1396,80322,87.705,22.281,0,0,0,0,0,4.95,9.25
2093,Maruti,Wagon,2012,CNG,5 Seats,Telangana,Manual,First Owner,998,92369,58.2,26.2,0,0,0,1,0,2.75,5.11
2094,Toyota,Innova,2019,Diesel,8 Seats,Telangana,Manual,First Owner,2393,163994,147.8,14.516,0,0,1,0,0,17.85,21.28
2095,Hyundai,i20,2022,Petrol,5 Seats,Maharashtra,Manual,First Owner,1197,30000,81.8,21.0,0,1,1,0,0,9.0,11.33
2096,Renault,Kiger,2021,Petrol,5 Seats,Maharashtra,Manual,First Owner,999,39000,71.01,19.17,1,1,1,0,1,5.85,10.15
2097,Mahindra,Bolero,2020,Diesel,7 Seats,Maharashtra,Manual,First Owner,1493,85000,74.96,16.0,1,0,0,0,0,8.51,12.92
2098,Hyundai,i20,2022,Petrol,5 Seats,Maharashtra,Manual,First Owner,1197,30000,81.8,21.0,0,1,1,0,0,9.0,11.33
2099,Hyundai,Grand,2014,Petrol,5 Seats,Maharashtra,Manual,First Owner,1197,78000,81.115,18.777,0,0,0,0,0,3.7,6.84
2100,Tata,Harrier,2022,Diesel,5 Seats,Maharashtra,Manual,First Owner,1956,70000,178.519,15.757,0,0,0,0,0,16.0,25.82
2101,Jeep,Compass,2018,Petrol,5 Seats,Maharashtra,Automatic,Second Owner,1368,80000,160.0,16.0,0,1,0,0,1,9.0,24.29
2102,Jeep,Compass,2018,Petrol,5 Seats,Maharashtra,Automatic,Second Owner,1368,80000,160.0,16.0,0,1,0,0,1,9.0,24.29
2103,Tata,Tigor,2017,Petrol,5 Seats,Maharashtra,Manual,First Owner,1199,44000,84.0,20.3,1,0,0,0,0,4.25,6.9
2104,Hyundai,i20,2013,Petrol,5 Seats,Maharashtra,Manual,First Owner,1197,42000,80.017,17.0,0,0,0,1,0,3.6,6.39
2105,Renault,Duster,2014,Petrol,5 Seats,Maharashtra,Manual,First Owner,1598,78000,102.57,13.24,1,0,0,0,1,3.75,11.42
2106,Renault,Duster,2013,Petrol,5 Seats,Maharashtra,Manual,First Owner,1598,66000,102.53,13.05,0,0,0,0,0,3.25,9.83
2107,Tata,Nexon,2018,Petrol,5 Seats,Maharashtra,Manual,First Owner,1198,65000,108.5,17.0,1,1,1,0,0,5.5,11.01
2108,Maruti,Swift,2012,Petrol,5 Seats,Maharashtra,Manual,Second Owner,1197,65000,85.8,19.1,0,0,0,0,0,3.25,5.89
2109,Tata,Nexon,2018,Petrol,5 Seats,Maharashtra,Manual,First Owner,1198,65000,108.5,17.0,1,1,1,0,0,5.5,11.01
2110,Hyundai,Xcent,2018,Petrol,5 Seats,Maharashtra,Manual,Second Owner,1197,75000,81.86,20.14,1,0,1,0,0,4.25,8.25
2111,Renault,KWID,2020,Petrol,5 Seats,Maharashtra,Manual,First Owner,799,37000,53.3,25.17,0,0,0,1,0,3.79,4.58
2112,Tata,Zest,2014,Petrol,5 Seats,Maharashtra,Manual,First Owner,1193,29000,88.7,17.57,0,0,0,0,0,3.4,6.82
2113,Hyundai,i20,2017,Petrol,5 Seats,Maharashtra,Manual,First Owner,1197,45000,82.315,18.411,0,0,0,0,0,5.15,8.11
2114,Mahindra,XUV500,2017,Diesel,7 Seats,Maharashtra,Manual,Second Owner,2179,72000,140.0,16.0,0,1,0,0,1,9.35,20.86
2115,Renault,KWID,2020,Petrol,5 Seats,Maharashtra,Manual,First Owner,799,37000,53.3,25.17,0,0,0,1,0,3.79,4.58
2116,Honda,Brio,2012,Petrol,5 Seats,Maharashtra,Manual,Second Owner,1198,56903,86.8,19.4,0,0,0,1,0,3.11,6.04
2117,Honda,Jazz,2015,Diesel,5 Seats,Maharashtra,Manual,First Owner,1498,73766,102.27,23.143,0,0,0,0,0,5.25,11.1
2118,Mahindra,TUV,2015,Diesel,7 Seats,Uttar Pradesh,Manual,First Owner,1493,95018,100.0,18.49,0,0,0,0,0,6.01,10.6
2119,Hyundai,i20,2014,Petrol,5 Seats,Maharashtra,Manual,First Owner,1197,68000,82.9,18.5,0,0,0,1,0,3.9,6.6
2120,Hyundai,i10,2014,Petrol,5 Seats,Maharashtra,Manual,First Owner,1197,49000,78.9,20.36,0,0,0,1,0,3.25,5.48
